IDText,Kelas
TXT0001,Ideologi
TXT0002,Politik
TXT0003,Ideologi
TXT0004,Politik
TXT0005,Politik
TXT0006,Politik
TXT0007,Politik
TXT0008,Politik
TXT0009,Politik
TXT0010,Ekonomi
TXT0011,Politik
TXT0012,Sosial Budaya
TXT0013,Politik
TXT0014,Politik
TXT0015,Sosial Budaya
TXT0016,Ideologi
TXT0017,Politik
TXT0018,Politik
TXT0019,Demografi
TXT0020,Sosial Budaya
TXT0021,Politik
TXT0022,Politik
TXT0023,Ekonomi
TXT0024,Geografi
TXT0025,Ekonomi
TXT0026,Demografi
TXT0027,Politik
TXT0028,Politik
TXT0029,Ideologi
TXT0030,Politik
TXT0031,Politik
TXT0032,Politik
TXT0033,Politik
TXT0034,Politik
TXT0035,Politik
TXT0036,Ideologi
TXT0037,Politik
TXT0038,Politik
TXT0039,Politik
TXT0040,Politik
TXT0041,Politik
TXT0042,Ekonomi
TXT0043,Politik
TXT0044,Ekonomi
TXT0045,Sosial Budaya
TXT0046,Ekonomi
TXT0047,Ekonomi
TXT0048,Politik
TXT0049,Politik
TXT0050,Politik
TXT0051,Politik
TXT0052,Ideologi
TXT0053,Politik
TXT0054,Politik
TXT0055,Politik
TXT0056,Politik
TXT0057,Politik
TXT0058,Politik
TXT0059,Politik
TXT0060,Politik
TXT0061,Politik
TXT0062,Pertahanan dan Keamanan
TXT0063,Politik
TXT0064,Politik
TXT0065,Politik
TXT0066,Politik
TXT0067,Sosial Budaya
TXT0068,Ideologi
TXT0069,Politik
TXT0070,Pertahanan dan Keamanan
TXT0071,Politik
TXT0072,Politik
TXT0073,Politik
TXT0074,Pertahanan dan Keamanan
TXT0075,Politik
TXT0076,Ekonomi
TXT0077,Politik
TXT0078,Ekonomi
TXT0079,Politik
TXT0080,Politik
TXT0081,Pertahanan dan Keamanan
TXT0082,Pertahanan dan Keamanan
TXT0083,Politik
TXT0084,Politik
TXT0085,Politik
TXT0086,Politik
TXT0087,Politik
TXT0088,Sosial Budaya
TXT0089,Ideologi
TXT0090,Pertahanan dan Keamanan
TXT0091,Politik
TXT0092,Politik
TXT0093,Sosial Budaya
TXT0094,Ideologi
TXT0095,Politik
TXT0096,Politik
TXT0097,Politik
TXT0098,Politik
TXT0099,Pertahanan dan Keamanan
TXT0100,Politik
TXT0101,Politik
TXT0102,Politik
TXT0103,Pertahanan dan Keamanan
TXT0104,Politik
TXT0105,Politik
TXT0106,Sosial Budaya
TXT0107,Politik
TXT0108,Politik
TXT0109,Ekonomi
TXT0110,Sumber Daya Alam
TXT0111,Politik
TXT0112,Politik
TXT0113,Politik
TXT0114,Politik
TXT0115,Politik
TXT0116,Politik
TXT0117,Ideologi
TXT0118,Sumber Daya Alam
TXT0119,Pertahanan dan Keamanan
TXT0120,Politik
TXT0121,Pertahanan dan Keamanan
TXT0122,Politik
TXT0123,Sosial Budaya
TXT0124,Politik
TXT0125,Sosial Budaya
TXT0126,Politik
TXT0127,Politik
TXT0128,Politik
TXT0129,Politik
TXT0130,Politik
TXT0131,Pertahanan dan Keamanan
TXT0132,Politik
TXT0133,Politik
TXT0134,Politik
TXT0135,Politik
TXT0136,Politik
TXT0137,Politik
TXT0138,Ekonomi
TXT0139,Politik
TXT0140,Politik
TXT0141,Ekonomi
TXT0142,Ekonomi
TXT0143,Politik
TXT0144,Politik
TXT0145,Politik
TXT0146,Pertahanan dan Keamanan
TXT0147,Ekonomi
TXT0148,Politik
TXT0149,Ekonomi
TXT0150,Politik
TXT0151,Politik
TXT0152,Pertahanan dan Keamanan
TXT0153,Sosial Budaya
TXT0154,Politik
TXT0155,Politik
TXT0156,Ekonomi
TXT0157,Politik
TXT0158,Ekonomi
TXT0159,Ekonomi
TXT0160,Politik
TXT0161,Politik
TXT0162,Politik
TXT0163,Politik
TXT0164,Politik
TXT0165,Sosial Budaya
TXT0166,Politik
TXT0167,Pertahanan dan Keamanan
TXT0168,Sumber Daya Alam
TXT0169,Politik
TXT0170,Politik
TXT0171,Politik
TXT0172,Politik
TXT0173,Pertahanan dan Keamanan
TXT0174,Politik
TXT0175,Politik
TXT0176,Politik
TXT0177,Politik
TXT0178,Politik
TXT0179,Politik
TXT0180,Politik
TXT0181,Politik
TXT0182,Ekonomi
TXT0183,Politik
TXT0184,Sumber Daya Alam
TXT0185,Politik
TXT0186,Pertahanan dan Keamanan
TXT0187,Politik
TXT0188,Pertahanan dan Keamanan
TXT0189,Sosial Budaya
TXT0190,Politik
TXT0191,Sosial Budaya
TXT0192,Pertahanan dan Keamanan
TXT0193,Politik
TXT0194,Politik
TXT0195,Politik
TXT0196,Politik
TXT0197,Politik
TXT0198,Politik
TXT0199,Politik
TXT0200,Politik
TXT0201,Politik
TXT0202,Sosial Budaya
TXT0203,Politik
TXT0204,Politik
