text_cleaned,label,correct,Demografi,Ekonomi,Geografi,Ideologi,Pertahanan dan Keamanan,Politik,Sosial Budaya,Sumber Daya Alam
kunjungan prabowo meresmikan menyerahkan proyek bantuan air bersih titik prabowo subianto,Sumber Daya Alam,9,0,0,0,0,8,34,5,9
anies tepuk tangan meriah rektor mewajibkan mata kuliah antikorupsi memutus mata rantai korupsi,Politik,35,3,0,6,1,1,35,9,1
emng bener sih pendukung 01 goblok jg dg pendukung 02 hnya sj ridwan kamil skemanya terbalik klo 01 mayoritas pendidikan menengah jg pendidikan rendah milih,Demografi,0,0,0,6,0,2,35,10,3
anies bersikap kritis kinerja prabowo dianggap engga sopan dianggap menghormati orang tua giliran skrg gibran tengil sok kritis dianggap kritis keras standar ganda,Politik,44,2,0,0,0,1,44,3,6
anies baswedan harap asn tni polri pegang sumpahnya pemilu,Politik,32,4,0,6,1,2,32,11,0
duh lurah denger nih acara hajatan rakyat puluhan ribu warga kendal serukan ganjar presiden kehadiran magnet puluhan ribu warga menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga bukti jawa kandang banteng,Politik,34,4,1,2,1,6,34,6,2
prabowo kemenhan tim satgas air unhan kaji bantuan air sukabumi dekade08 prabowo gibran,Pertahanan dan Keamanan,18,4,1,3,0,18,12,1,17
anies ya allah sibukkanlah orang zalim kejahatan orang zalim,Politik,39,0,2,2,0,0,39,13,0
abah bapa bapa perhatian pendidikan anak anak papua pintar pintar gerakan indonesia mengajar lupakan warga papua bapa anies presiden,Politik,7,7,0,0,0,0,7,41,1
bawaslu dimaki jancuk warga gara mencopot spanduk ganjar mahfud spanduk capres dicopot bawaslu tim sukses,Politik,38,1,11,0,5,1,38,0,0
isu basi terkait fakta anies mengganti pancasila sistem khilafah terkait toleransi penganut agamaanies blunder data rumah ibadah jakarta anies mengkhianati prabowo capres kebenaran fakta disangkalentah niat jahat nafsu kepentingan pribadibenar seringkali buta mata hati buta,Ideologi,5,3,1,1,5,4,31,7,4
ganjar pranowomahfud md menekankan persiapan kebutuhan dasar alutsista matra darat laut udaraganjar mahfud m3nang,Pertahanan dan Keamanan,9,1,7,1,12,9,26,0,0
calon presiden capres nomor urut 1 anies baswedan kemampuannya menghadapi debat ketiga debat ketiga tema pertahanan keamanan hubungan internasional geopolitik download app store play store,Pertahanan dan Keamanan,43,1,0,0,2,43,8,0,2
capres ganjar pranowo rencana bersinergi perguruan program membawa perubahan positif,Politik,33,1,15,1,3,0,33,3,0
pendapatan apbd jumbo seindonesia mencapai rp 77,Ekonomi,2,1,2,20,1,7,17,5,3
kenyataan timbul menghancurkan pribadi isinya penuh kebencian ayahbowo adalahkita menimbulkan dampak emosional pemilih dukungantulus untuk02,Politik,23,3,3,18,2,3,23,2,2
mas ganjar bawa data ngasih berdasar data prabowo bilang data mas ganjar salah prabowo bilang datanya salah wajar mas ganjar data gak urusan singkat,Politik,47,0,2,0,1,2,47,2,2
trending on twitter x anies bubble meroket fenomena fans kpop join amin isme,Sosial Budaya,7,2,1,10,8,0,28,7,0
wait wait bukti anies politik identitas ahok terang terangan pilkada memantik perselisihan password wifi kafir berpikir adil sulit,Politik,30,6,0,5,2,3,30,9,1
