text_cleaned,label,correct,Demografi,Ekonomi,Geografi,Ideologi,Pertahanan dan Keamanan,Politik,Sosial Budaya,Sumber Daya Alam,text
kunjungan prabowo meresmikan menyerahkan proyek bantuan air bersih titik prabowo subianto,Sumber Daya Alam,9,0,0,0,0,8,34,5,9,Kunjungan Prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto
anies tepuk tangan meriah rektor mewajibkan mata kuliah antikorupsi memutus mata rantai korupsi,Politik,35,3,0,6,1,1,35,9,1,RT Anies dapat tepuk tangan meriah saat jadi Rektor mewajibkan mata kuliah anti-korupsi untuk memutus mata rantai korupsi.. #AminMiskinkanKoruptor https://t.co/hgXsoQGaEa [RE ekowboy2]
emng bener sih pendukung 01 goblok jg dg pendukung 02 hnya sj ridwan kamil skemanya terbalik klo 01 mayoritas pendidikan menengah jg pendidikan rendah milih,Demografi,0,0,0,6,0,2,35,10,3,"@CIqXqwGAT04tMtx4OCATxjoVq7vv/Y8HeYaIOgMFg8Y= emng bener sih, pendukung 01 ada yg goblok, begitu jg dg pendukung 02.. hnya sj menurut pak Ridwan Kamil skemanya terbalik, klo 01 MAYORITAS PENDIDIKAN MENENGAH ATAS (artinya ada jg pendidikan rendah yg milih"
anies bersikap kritis kinerja prabowo dianggap engga sopan dianggap menghormati orang tua giliran skrg gibran tengil sok kritis dianggap kritis keras standar ganda,Politik,44,2,0,0,0,1,44,3,6,"RT @L3R8XFBw3WGbxRPSj0/0hHZTbqVGX7qtfwRg9zmhK7Q= Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua, giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras. Apakah ini tidak standar ganda? Ã°ÂŸÂ¤Â­ [RE coldthem]"
anies baswedan harap asn tni polri pegang sumpahnya pemilu,Politik,32,4,0,6,1,2,32,11,0,Anies Baswedan Harap ASN termasuk TNI dan Polri Pegang Sumpahnya dalam Pemilu https://t.co/QRQZ3wI8YP
duh lurah denger nih acara hajatan rakyat puluhan ribu warga kendal serukan ganjar presiden kehadiran magnet puluhan ribu warga menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga bukti jawa kandang banteng,Politik,34,4,1,2,1,6,34,6,2,"RT Duh jangan sampai Pak lurah denger nih Ã°ÂŸÂ¤Â­ Di Acara Hajatan Rakyat, Puluhan Ribu Warga di Kendal Serukan Ã¢Â€ÂœGanjar PresidenÃ¢Â€Â Kehadiran @0Zdeh9QcTWu+z+fS3hRaTcFuSLRh56REFyRLq4/Jdlc= menjadi magnet bagi puluhan ribu warga untuk datang menghadiri Hajatan Rakyat Ganjar-Mahfud. Besarnya antusiasme warga menjadi bukti bahwa Jawa Tengah tetap menjadi kandang banteng. #GanjarMahfud2024 #TabrakProfMahfud [RE DS_yantie]"
prabowo kemenhan tim satgas air unhan kaji bantuan air sukabumi dekade08 prabowo gibran,Pertahanan dan Keamanan,18,4,1,3,0,18,12,1,17,Prabowo minta Kemenhan dan Tim Satgas Air Unhan kaji bantuan air di Sukabumi. dekade08 Prabowo - Gibran
anies ya allah sibukkanlah orang zalim kejahatan orang zalim,Politik,39,0,2,2,0,0,39,13,0,RT Anies: Ya Allah Sibukkanlah Orang Zalim Agar Dapat Kejahatan dari Orang Zalim Lainnya https://t.co/1VK6BWKu2s [RE OposisiCerdas]
abah bapa bapa perhatian pendidikan anak anak papua pintar pintar gerakan indonesia mengajar lupakan warga papua bapa anies presiden,Politik,7,7,0,0,0,0,7,41,1,"RT Abah @znOMP7ZMVU9dMuMNA/cIazC9q5+hgwVkTsQNdQLKgTc= itu bapa kami, bapa yg berikan perhatian untuk pendidikan anak anak Papua jadi pintar pintar. Gerakan Indonesia mengajar tak bisa di lupakan sama warga Papua. Kami ingin bapa Anies jadi Presiden. https://t.co/FCdf6J1L3Z [RE LANGKAHANIES]"
bawaslu dimaki jancuk warga gara mencopot spanduk ganjar mahfud spanduk capres dicopot bawaslu tim sukses,Politik,38,1,11,0,5,1,38,0,0,"RT Bawaslu dimaki ""JANCUK"" sama warga garaÃ‚Â² mencopot spanduk Ganjar Mahfud, sementara spanduk Capres lain tidak dicopot. Bawaslu rasa tim sukses. Ã°ÂŸÂ˜Âª #AsalBukanPrabowo #OrdeBaruReborn https://t.co/AcubW2OFlq [RE 03__nakula]"
isu basi terkait fakta anies mengganti pancasila sistem khilafah terkait toleransi penganut agamaanies blunder data rumah ibadah jakarta anies mengkhianati prabowo capres kebenaran fakta disangkalentah niat jahat nafsu kepentingan pribadibenar seringkali buta mata hati buta,Ideologi,5,3,1,1,5,4,31,7,4,"RT Beberapa isu basi terkait @hs5jZceksZrPM0NiWtKnsbSbZ1XyaZtU4OHkKgrcDk8= / @wEOWbjbQXX93e2r1/7iXQ1mV/pxGE9yrnUdgURpW0Y0= dan fakta sebenarnya bisa dilihat di https://t.co/3aR3K0Plf4. Beberapa diantaranya: Ã¢Â€Â¢ Anies akan mengganti Pancasila dengan sistem Khilafah: https://t.co/jfzZ6vpU11 Ã¢Â€Â¢ Terkait toleransi berbagai penganut agamaÃ¢Â€Â”Anies blunder soal data rumah ibadah di Jakarta: https://t.co/nGdOmaVOEO Ã¢Â€Â¢ Anies mengkhianati Prabowo untuk jadi Capres: https://t.co/ioe8x09UpZ Saat kebenaran dan fakta atas suatu hal telah jelas, tapi tetap disangkalÃ¢Â€Â”entah karena niat jahat, nafsu, atau kepentingan pribadiÃ¢Â€Â¦benar bahwa seringkali yang buta itu bukan mata, tapi hati yang buta. [RE borryshasian]"
ganjar pranowomahfud md menekankan persiapan kebutuhan dasar alutsista matra darat laut udaraganjar mahfud m3nang,Pertahanan dan Keamanan,9,1,7,1,12,9,26,0,0,"RT Ganjar Pranowo-Mahfud MD menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra, yaitu darat, laut, dan udara.Ganjar Mahfud M3nang. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Apri0801 https://t.co/kxi9ei6A46 [RE AllaaGa1]"
calon presiden capres nomor urut 1 anies baswedan kemampuannya menghadapi debat ketiga debat ketiga tema pertahanan keamanan hubungan internasional geopolitik download app store play store,Pertahanan dan Keamanan,43,1,0,0,2,43,8,0,2,"RT Calon presiden (capres) nomor urut 1 Anies Baswedan @vaVbSLyok3xdwCAiYpXkJarkzroaILpIRIdpu/z3CJE= sudah siap dengan kemampuannya menghadapi debat ketiga. Debat ketiga akan menyangkut tema soal pertahanan, keamanan, hubungan internasional, dan geopolitik. Download #metrotvxtend di app store & play store #aniesbaswedan #pemilu2024 #debatcapres [RE Metro_TV]"
capres ganjar pranowo rencana bersinergi perguruan program membawa perubahan positif,Politik,33,1,15,1,3,0,33,3,0,Capres Ganjar Pranowo punya rencana besar! Dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/L8MREZKfXz
pendapatan apbd jumbo seindonesia mencapai rp 77,Ekonomi,2,1,2,20,1,7,17,5,3,"@YcALzIavlM9mN2WtCz3omAmFsnJU8aBm4seMBHJD2vc= @tDtdY83jBV3k81lsAOhmIc1vK+/zGxcIdKVOWIu29xI= @Knh1OhMlSdWjOdPeGirPIxWUf4qXOOU/iNP8ZBTeaLE= @K7Z2vGLl2OuxDbFwAiP8MxCqp07lzjNsfLWVZu5Ipz4= Dengan pendapatan APBD jumbo, paling besar se-Indonesia, mencapai Rp 77"
kenyataan timbul menghancurkan pribadi isinya penuh kebencian ayahbowo adalahkita menimbulkan dampak emosional pemilih dukungantulus untuk02,Politik,23,3,3,18,2,3,23,2,2,"@VHznvAltictn2PtvpMTLB+H/VJ6L603oe1oRpSZJtO4= Kenyataan yg timbul, menghancurkan pribadi yg isinya penuh kebencian ke AyahBOWO AdalahKITA menimbulkan dampak emosional di pemilih. #MunculFenomenaPAKbowo DukunganTulus Untuk02 @K5CWVm/0TA1XpCHveYhOEBrkxUugg2"
mas ganjar bawa data ngasih berdasar data prabowo bilang data mas ganjar salah prabowo bilang datanya salah wajar mas ganjar data gak urusan singkat,Politik,47,0,2,0,1,2,47,2,2,"RT Mas Ganjar bawa data dan ngasih pertanyaan berdasar data. Bisa saja dijawab oleh Pak Prabowo tanpa bilang data dari Mas Ganjar salah. Tapi karena Pak Prabowo bilang datanya salah, wajar jika Mas Ganjar minta ditunjukkan mana data yang benar. Gak ada urusan sama waktu yang singkat. [RE pangeransiahaan]"
